"title","blurb","time_minutes","servings","skill","ingredients","method","id","cookware","contains","allergen_notes","author","published_at","cuisine","spice_level","meal_types","calories","status","image_url","image_alt"
"Coconut Lentil Curry with Curry Leaves","Toor dal simmered in coconut milk with a mustard seed and curry leaf tempering.","35","4","Beginner","1 cup | toor dal
1 cup | coconut milk
1 tsp | mustard seeds
1 sprig | curry leaves
1/2 tsp | turmeric
1 tbsp | oil","Cook the dal: Simmer the toor dal with turmeric and water until completely soft.
Temper: Heat the oil, pop the mustard seeds and add the curry leaves.
Simmer: Stir the tempering and the coconut milk into the dal and simmer ten minutes before serving.","coconut-lentil-curry","Pressure cooker
Small pan","","","Vegan Cook","2026-08-01","Indian","Mild","Dinner","280","published","",""
"Spinach and Tofu Curry","Cubes of tofu folded into a smooth, gently spiced spinach gravy.","30","4","Beginner","500 g | spinach
300 g | firm tofu, cubed
1 | onion, chopped
3 cloves | garlic
1/2 tsp | garam masala
2 tbsp | oil","Blanch: Wilt the spinach in boiling water for a minute, refresh in cold water and blend to a puree.
Fry the base: Cook the onion and garlic in the oil until golden.
Simmer: Add the spinach puree and garam masala and cook for five minutes.
Finish: Fold in the tofu and warm through gently for five minutes.","palak-tofu","Blender
Pan","Soy","","Vegan Cook","2026-08-01","Indian","Medium","Dinner","260","published","",""
"Spiced Mushroom Biryani","Basmati layered with masala mushrooms and mint, then steamed until fragrant.","45","4","Intermediate","2 cups | basmati rice
400 g | mushrooms, quartered
2 | onions, sliced
1 tbsp | biryani masala
1/2 cup | mint leaves
3 tbsp | oil","Parboil: Soak the rice for twenty minutes, then boil with whole spices until seventy per cent cooked and drain.
Cook the masala: Fry the onions until deep golden, add the mushrooms and biryani masala and cook until the moisture has gone.
Layer: Spread the mushrooms in a heavy pan, top with the rice and the mint.
Steam: Cover tightly and cook on the lowest heat for fifteen minutes, then fluff and serve.","mushroom-biryani","Pot
Heavy bottomed pan with lid","","","Vegan Cook","2026-08-01","Indian","Spicy","Lunch","340","published","",""
"Punjabi Chana Masala","Chickpeas simmered in a deep, tangy onion and tomato masala.","35","4","Beginner","500 g | cooked chickpeas
2 | onions, finely chopped
1 cup | tomato puree
1.5 tbsp | chole masala
2 tbsp | oil","Brown the onions: Fry the onions in the oil until deep golden.
Cook the masala: Add the tomato puree and chole masala and cook until the oil separates at the edges.
Simmer: Add the chickpeas with a cup of water and simmer fifteen minutes until thick.","chana-masala","Heavy pan","","","Vegan Cook","2026-08-01","Indian","Medium","Lunch","310","published","",""
"Aromatic Vegetable Pulao","Basmati cooked with whole spices and vegetables until every grain is separate.","30","4","Beginner","2 cups | basmati rice, soaked
1.5 cups | mixed vegetables
1 tbsp | whole spices
1 | onion, sliced
2 tbsp | oil","Temper: Heat the oil, add the whole spices and the onion and cook until translucent.
Toast: Add the vegetables and drained rice and stir gently for two minutes.
Steam: Pour in three cups of water, cover and cook on low until the rice is tender, then rest and fluff.","vegetable-pulao","Pot with a tight lid","","","Vegan Cook","2026-08-01","Indian","Mild","Lunch","290","published","",""
"Smashed Avocado Toast on Sourdough","Crisp sourdough under smashed avocado, lemon and chilli flakes.","10","2","Beginner","2 slices | sourdough bread
1 | ripe avocado
1 tsp | lemon juice
1/2 tsp | chilli flakes
1 tsp | olive oil","Toast: Toast the sourdough until golden and crisp.
Smash: Mash the avocado with the lemon juice, salt and pepper.
Assemble: Spread over the toast and finish with chilli flakes and olive oil.","avocado-toast","Toaster
Bowl","Gluten","","Vegan Cook","2026-08-01","Continental","Mild","Breakfast","210","published","",""
"Vanilla Chia Pudding","Chia seeds soaked overnight in almond milk with vanilla and maple syrup.","10","2","Beginner","1/4 cup | chia seeds
1 cup | almond milk
1 tbsp | maple syrup
1/2 tsp | vanilla extract","Mix: Stir the chia seeds, almond milk, maple syrup and vanilla together in a jar.
Rest: Stir again after five minutes, then chill for at least four hours or overnight.
Serve: Loosen with a splash of almond milk and serve cold.","chia-pudding","Jar","Tree Nuts","","Vegan Cook","2026-08-01","Continental","None","Breakfast","180","published","",""
"Roasted Sweet Potato and Quinoa Bowl","Roasted sweet potato over fluffy quinoa and greens with a tahini drizzle.","35","2","Beginner","2 | sweet potatoes, cubed
1 cup | quinoa
2 tbsp | tahini
1 tbsp | olive oil
2 cups | spinach","Roast: Toss the sweet potato with the olive oil and roast at 200C for twenty five minutes.
Cook the quinoa: Simmer the quinoa in two cups of water until the grains uncurl, then fluff.
Assemble: Layer the spinach, quinoa and sweet potato and finish with loosened tahini.","sweet-potato-bowl","Baking tray
Pot","","Contains sesame from the tahini.","Vegan Cook","2026-08-01","Continental","Mild","Lunch","360","published","",""
"Tuscan Brown Lentil Soup","A rustic soup of brown lentils, carrot, celery and herbs.","40","4","Beginner","1 cup | brown lentils
2 | carrots, diced
2 stalks | celery, diced
4 cups | vegetable broth
1 tbsp | olive oil","Soften: Cook the carrot and celery in the olive oil until soft.
Add the lentils: Stir in the rinsed lentils and the broth and bring to the boil.
Simmer: Cook gently for thirty minutes until the lentils are tender and the soup has thickened.","lentil-soup","Pot","","","Vegan Cook","2026-08-01","Italian","Mild","Lunch","240","published","",""
"Garlic and Herb Sauteed Mushrooms","Mushrooms seared hard with garlic, olive oil and parsley.","15","3","Beginner","400 g | button mushrooms, sliced
4 cloves | garlic, minced
2 tbsp | olive oil
2 tbsp | parsley, chopped
to taste | salt","Prep: Wipe and slice the mushrooms.
Sear: Heat the oil until shimmering, add the mushrooms and cook without stirring until they colour.
Finish: Add the garlic for the last minute, season and toss through the parsley.","garlic-mushrooms","Wide pan","","","Vegan Cook","2026-08-01","Continental","Mild","Snack","160","published","",""
"Vegetable Fried Rice","Cold rice tossed hard in a wok with vegetables, soy and spring onion.","20","3","Beginner","3 cups | cooked rice, chilled
1 cup | mixed vegetables
1/2 cup | spring onions
2 tbsp | soy sauce
1 tbsp | sesame oil","Heat the wok: Get the sesame oil smoking hot and add the vegetables.
Fry the rice: Add the chilled rice and the soy sauce and toss constantly until steaming.
Finish: Scatter over the spring onions and serve at once.","vegetable-fried-rice","Wok","Soy, Gluten","Contains sesame oil. Use tamari to keep the dish gluten free.","Vegan Cook","2026-08-01","Chinese","Medium","Dinner","300","published","",""
"Vegetable Minestrone","Beans, pasta and vegetables in a herby tomato broth.","45","4","Beginner","1 cup | cooked kidney beans
1/2 cup | small pasta
2 | carrots, diced
1 | zucchini, diced
4 cups | vegetable broth
1 cup | chopped tomatoes","Soften: Cook the carrot and zucchini in a little oil until tender.
Build: Add the tomatoes, broth and beans and bring to the boil.
Finish: Stir in the pasta and simmer fifteen minutes until cooked through.","minestrone-soup","Pot","Gluten","","Vegan Cook","2026-08-01","Italian","Mild","Lunch","280","published","",""
"Spiced Roasted Cauliflower","Cauliflower florets roasted hard with cumin and paprika until crisp at the edges.","30","3","Beginner","1 head | cauliflower
1 tsp | ground cumin
1 tsp | paprika
2 tbsp | olive oil
to taste | salt","Prep: Break the cauliflower into bite sized florets.
Season: Toss with the oil, cumin, paprika and salt.
Roast: Spread out on a tray and roast at 200C for twenty five minutes until browned.","roasted-cauliflower","Baking tray","","","Vegan Cook","2026-08-01","Continental","Medium","Snack","150","published","",""
"Sesame Garlic Zucchini Noodles","Spiralised zucchini tossed quickly in a garlic and sesame dressing.","15","2","Beginner","3 | zucchini
1 tbsp | sesame oil
2 cloves | garlic, minced
1 tbsp | soy sauce
1 tsp | sesame seeds","Spiralise: Turn the zucchini into long noodles.
Infuse: Warm the garlic in the sesame oil for a minute.
Toss: Add the noodles and soy sauce and toss for two minutes only, then finish with sesame seeds.","zucchini-noodles","Spiraliser
Pan","Soy, Gluten","Contains sesame. Use tamari to keep the dish gluten free.","Vegan Cook","2026-08-01","Chinese","Mild","Dinner","140","published","",""
"Falafel Wrap with Tahini Sauce","Crisp falafel, salad and tahini sauce rolled into warm flatbread.","30","3","Beginner","300 g | soaked dried chickpeas
1/2 cup | parsley and coriander
1 tsp | ground cumin
3 | flatbreads
1 cup | lettuce, shredded
1 cup | tomatoes, sliced
3 tbsp | tahini sauce
3 tbsp | oil","Make the falafel: Blitz the soaked chickpeas with the herbs, cumin and salt to a coarse paste and shape into small patties.
Fry: Cook in the oil over medium heat until deeply golden on both sides.
Warm: Heat the flatbreads through in a dry pan.
Wrap: Fill with lettuce, tomato and falafel, drizzle with tahini sauce and roll up tightly.","falafel-wrap","Food processor
Pan","Gluten","Contains sesame from the tahini sauce. Flatbread contains gluten.","Vegan Cook","2026-08-01","Middle Eastern","Medium","Lunch","390","published","",""
"Roasted Beetroot and Walnut Salad","Earthy roasted beetroot with baby greens, walnuts and balsamic.","50","2","Beginner","3 | beetroot
1/4 cup | walnuts
3 cups | baby greens
1 tbsp | balsamic vinegar
1 tbsp | olive oil","Roast: Wrap the beetroot in foil and roast at 200C for forty five minutes until tender, then peel and cube.
Toast: Dry toast the walnuts until fragrant.
Assemble: Dress the greens with the oil and vinegar, then top with the beetroot and walnuts.","roasted-beetroot","Baking tray
Bowl","Tree Nuts","","Vegan Cook","2026-08-01","Continental","Mild","Lunch","220","published","",""
"Cucumber and Olive Salad","Crisp cucumber, tomato, olives and red onion in a lemon and oregano dressing.","15","3","Beginner","2 | cucumbers
2 | tomatoes
1/2 cup | olives
1/2 | red onion
2 tbsp | lemon juice
2 tbsp | olive oil
1 tsp | dried oregano","Chop: Cut the cucumber, tomato and onion into bite sized pieces.
Combine: Add the olives to the bowl.
Dress: Toss with the lemon juice, olive oil, oregano and salt just before serving.","mediterranean-salad","Bowl","","","Vegan Cook","2026-08-01","Mediterranean","Mild","Snack","130","published","",""
"Lentil Shepherds Pie","A savoury lentil and vegetable base under a golden mashed potato crust.","50","4","Beginner","1.5 cups | brown lentils
4 | potatoes
1 cup | mixed vegetables
2 cups | vegetable broth
2 tbsp | olive oil","Make the filling: Simmer the lentils and vegetables in the broth until thick and saucy.
Make the topping: Boil the potatoes until tender and mash with the olive oil and salt.
Bake: Spread the filling in a dish, cover with the mash and bake at 200C for twenty minutes until browned.","lentil-shepherds-pie","Baking dish
Pot","","","Vegan Cook","2026-08-01","Continental","Mild","Dinner","380","published","",""
"Cold Peanut Soba Noodles","Chilled buckwheat noodles in a creamy peanut and lime dressing.","20","2","Beginner","200 g | soba noodles
3 tbsp | peanut butter
2 tbsp | soy sauce
1 tbsp | lime juice
2 tbsp | warm water","Cook: Boil the soba until just tender, then rinse under cold water.
Whisk: Beat the peanut butter, soy sauce, lime juice and warm water into a pourable sauce.
Toss: Coat the cold noodles in the dressing and serve chilled.","peanut-soba-noodles","Pot
Bowl","Peanut, Soy, Gluten","Most soba contains wheat. Use one hundred per cent buckwheat noodles and tamari for a gluten free version.","Vegan Cook","2026-08-01","Japanese","Medium","Lunch","330","published","",""
"Quinoa Stuffed Bell Peppers","Peppers baked with a filling of quinoa, black beans, corn and salsa.","45","3","Beginner","3 | bell peppers
1.5 cups | cooked quinoa
1 cup | black beans
1/2 cup | sweetcorn
1/2 cup | salsa","Prep: Halve the peppers and remove the seeds.
Mix: Combine the quinoa, beans, corn and salsa with salt and pepper.
Bake: Fill the pepper halves and bake at 200C for thirty minutes until tender and lightly charred.","stuffed-bell-peppers","Baking dish","","","Vegan Cook","2026-08-01","Mexican","Medium","Dinner","320","published","",""
"Roasted Butternut Squash Soup","Roasted squash blended with coconut milk into a silky, gently spiced soup.","45","4","Beginner","1 kg | butternut squash, cubed
1 cup | coconut milk
1 | onion
3 cups | vegetable broth
1 tbsp | olive oil
1/2 tsp | ground cinnamon","Roast: Roast the squash and onion with the oil at 200C for thirty minutes.
Blend: Blitz with the broth, coconut milk and cinnamon until completely smooth.
Warm: Reheat in a pot, season and serve.","butternut-soup","Baking tray
Blender
Pot","","","Vegan Cook","2026-08-01","Continental","Mild","Lunch","210","published","",""
"Wild Mushroom Risotto","Arborio rice stirred slowly with mushrooms and vegetable broth until creamy.","45","3","Intermediate","1.5 cups | arborio rice
300 g | mixed mushrooms
4 cups | vegetable broth, hot
1 | onion, finely chopped
2 tbsp | olive oil","Fry: Cook the onion and mushrooms in the olive oil until soft and browned.
Toast the rice: Stir in the rice and cook for two minutes until the grains look glassy.
Stir: Add the hot broth one ladle at a time, stirring until absorbed before the next, until the rice is creamy and just firm.
Rest: Season, cover and rest two minutes before serving.","mushroom-risotto","Heavy pot","","","Vegan Cook","2026-08-01","Italian","Mild","Dinner","390","published","",""
"Spiced Lentil Tacos with Guacamole","Seasoned lentils in crisp taco shells with lettuce and guacamole.","25","3","Beginner","6 | taco shells
1.5 cups | cooked lentils
1 tbsp | taco seasoning
1/2 cup | guacamole
1 cup | lettuce, shredded","Season: Cook the lentils with the taco seasoning and a splash of water until thick.
Warm: Heat the taco shells through in the oven.
Fill: Spoon in the lentils, add the lettuce and top with guacamole.","spicy-lentil-tacos","Pan","Gluten","Check the taco shells and seasoning if you avoid gluten.","Vegan Cook","2026-08-01","Mexican","Medium","Dinner","340","published","",""
"Mango and Coconut Chia Parfait","Layers of chia pudding, mango puree and toasted coconut.","15","2","Beginner","1/4 cup | chia seeds
1 cup | coconut milk
1 cup | mango puree
2 tbsp | coconut flakes
1 tbsp | maple syrup","Soak: Stir the chia seeds into the coconut milk with the maple syrup and chill until thick.
Layer: Spoon half the pudding into glasses and cover with the mango puree.
Finish: Add the remaining pudding and top with toasted coconut flakes.","coconut-chia-parfait","Glass jars
Bowl","","","Vegan Cook","2026-08-01","Other","None","Breakfast","230","published","",""
"Baked Falafel Bowl with Tahini","Oven baked falafel over brown rice and greens with tahini sauce.","40","3","Beginner","300 g | soaked dried chickpeas
1/2 cup | parsley
1 tsp | ground cumin
1.5 cups | cooked brown rice
2 cups | mixed greens
3 tbsp | tahini sauce
1 tbsp | olive oil","Shape: Blitz the chickpeas with the parsley, cumin and salt and roll into small balls.
Bake: Brush with the oil and bake at 200C for twenty five minutes, turning once.
Assemble: Divide the rice and greens between bowls, add the falafel and drizzle with tahini sauce.","baked-falafel","Food processor
Baking tray
Bowl","","Contains sesame from the tahini sauce.","Vegan Cook","2026-08-01","Middle Eastern","Medium","Lunch","370","published","",""
"Smoky Roasted Aubergine Dip","Charred aubergine blended with tahini, garlic and lemon.","40","3","Beginner","2 large | aubergines
2 tbsp | tahini
2 cloves | garlic
2 tbsp | lemon juice
1 tbsp | olive oil","Roast: Prick the aubergines and roast at 200C for thirty five minutes until collapsed and smoky.
Blend: Scoop out the flesh and blitz with the tahini, garlic and lemon juice.
Serve: Spread into a bowl, drizzle with olive oil and serve with flatbread.","roasted-eggplant","Baking tray
Food processor","","Contains sesame from the tahini.","Vegan Cook","2026-08-01","Middle Eastern","Mild","Snack","170","published","",""
"Lemon and Herb Quinoa Salad","Cooled quinoa tossed with cucumber, tomato, herbs and lemon.","20","3","Beginner","1.5 cups | quinoa
1 | cucumber, diced
1 cup | cherry tomatoes, halved
1/2 cup | mixed soft herbs
3 tbsp | lemon juice
2 tbsp | olive oil","Cook: Simmer the quinoa until tender, then spread out to cool completely.
Chop: Dice the cucumber and halve the tomatoes.
Toss: Combine everything with the lemon juice, olive oil and salt.","lemon-herb-quinoa","Pot
Bowl","","","Vegan Cook","2026-08-01","Mediterranean","Mild","Lunch","250","published","",""
"Spiced Chickpea and Spinach Wrap","Cumin spiced chickpeas and wilted spinach folded into a warm tortilla.","20","3","Beginner","3 | tortillas
2 cups | cooked chickpeas
2 cups | spinach
1 tsp | ground cumin
1 tbsp | olive oil","Spice: Fry the chickpeas in the oil with the cumin until they start to crisp.
Wilt: Add the spinach and cook until just collapsed.
Wrap: Warm the tortillas, fill and roll up tightly.","spiced-chickpea-wrap","Pan","Gluten","","Vegan Cook","2026-08-01","Mediterranean","Medium","Lunch","330","published","",""
"Avocado and Sweetcorn Salad","Sweetcorn and avocado tossed with lime and coriander.","15","3","Beginner","2 cups | sweetcorn kernels
2 | avocados, diced
1/2 cup | coriander, chopped
3 tbsp | lime juice
1 tbsp | olive oil","Cook: Steam the sweetcorn until tender and let it cool.
Dice: Cut the avocado into cubes.
Toss: Fold everything together with the lime juice, olive oil and salt.","avocado-corn-salad","Pot
Bowl","","","Vegan Cook","2026-08-01","Mexican","Mild","Snack","210","published","",""
